window	n	s	window_end	clade
0	0.0	nan	6.0	0
1	0.0	nan	10.0	0
2	0.0	nan	14.0	0
3	0.0	nan	18.0	0
4	0.0	nan	22.0	0
5	0.0	nan	26.0	0
6	0.0	nan	30.0	0
7	0.0	nan	34.0	0
8	1.0	0.0	38.0	0
9	0.0	nan	42.0	0
10	1.0	0.0	46.0	0
11	2.0	5.0	50.0	0
12	2.0	4.0	54.0	0
13	2.0	2.0	58.0	0
14	6.0	6.0	62.0	0
15	2.0	4.0	66.0	0
16	8.0	18.0	70.0	0
17	6.0	15.0	74.0	0
18	9.0	12.0	78.0	0
19	15.0	35.0	82.0	0
20	23.0	48.0	86.0	0
21	38.0	83.0	90.0	0
22	51.0	108.0	94.0	0
23	41.0	85.0	98.0	0
24	63.0	164.0	102.0	0
25	45.0	121.0	106.0	0
26	42.0	120.0	110.0	0
27	39.0	116.0	114.0	0
28	31.0	96.0	118.0	0
29	24.0	73.0	122.0	0
30	13.0	43.0	126.0	0
31	13.0	51.0	130.0	0
32	10.0	45.0	134.0	0
33	6.0	21.0	138.0	0
34	0.0	nan	142.0	0
35	4.0	22.0	146.0	0
36	2.0	15.0	150.0	0
37	1.0	0.0	154.0	0
